objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E05000026,Abbey, ,544433,184379,0.081277,51.539829,1282925.00155083,6244.8850146775
2,E05000027,Alibon, ,549247,185196,0.150987,51.545921,1364442.12156132,6353.91764044843
3,E05000028,Becontree, ,546863,185869,0.116912,51.552601,1288081.76987906,6341.64581702176
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.58342,3384190.4478298,9603.41157109572
5,E05000030,Eastbrook, ,550774,186272,0.173453,51.555191,3450576.54778762,8987.80224820103
6,E05000031,Eastbury, ,546074,183978,0.104756,51.535809,1439218.19692053,6828.1438710451
7,E05000032,Gascoigne, ,544762,183580,0.085689,51.53257,1138715.73897913,5947.83020849933
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.536041,1277822.95818954,5703.29651756958
9,E05000034,Heath, ,549340,186620,0.152931,51.558689,2001301.29304094,8064.95276248373
10,E05000035,Longbridge, ,545276,184914,0.093644,51.54443,1645288.95415276,6377.03155543031
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.545189,1856444.3086408,7635.29926835355
12,E05000037,Parsloes, ,548150,185599,0.135348,51.549831,1243847.20543789,6796.70598930507
13,E05000038,River, ,549432,182817,0.152645,51.524502,3543669.35325856,10383.7070517519
14,E05000039,Thames, ,547155,182705,0.1198,51.52409,7888495.48073278,13329.8852702124
15,E05000040,Valence, ,548153,186867,0.135925,51.56123,1292828.18093823,5791.45630438345
16,E05000041,Village, ,550361,184190,0.166611,51.536591,2147501.071555,7860.12033991704
17,E05000042,Whalebone, ,548545,187662,0.141911,51.568272,1553977.96265867,7013.80320701624
18,E05000043,Brunswick Park, ,528433,193715,-0.14588,51.627602,3175248.42101303,8411.1517203048
19,E05000044,Burnt Oak, ,520522,190761,-0.26113,51.602798,2067226.00696582,6779.83385206256
20,E05000045,Childs Hill, ,524656,186687,-0.20291,51.565289,3093004.36885319,9327.44865575341
21,E05000046,Colindale, ,521442,189584,-0.24826,51.592018,2636243.08142079,8455.92241230503
22,E05000047,Coppetts, ,528052,191830,-0.15207,51.610748,2720606.91994908,7975.26647757916
23,E05000048,East Barnet, ,527475,195754,-0.15897,51.646141,3749406.44197288,9677.14401246023
24,E05000049,East Finchley, ,526811,190033,-0.17063,51.594879,2509887.7989861,8188.45375106568
25,E05000050,Edgware, ,518863,193351,-0.2842,51.626431,5556470.24352662,12882.6957931203
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.596809,2725663.47788855,8223.78596667453
27,E05000052,Garden Suburb, ,526124,188445,-0.18112,51.580761,4727042.00836797,10448.1255943879
28,E05000053,Golders Green, ,523819,187290,-0.21477,51.570889,2972917.9931144,9407.98202116955
29,E05000054,Hale, ,520890,193803,-0.25477,51.630058,5423187.92060308,15683.3988111911
30,E05000055,Hendon, ,523084,189557,-0.22458,51.591431,2838690.68189954,7781.57802165426
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.655411,8306625.07173972,19783.9215002049
32,E05000057,Mill Hill, ,523111,192066,-0.22331,51.613972,9389243.63943229,14778.2583793758
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.637192,3318593.80805256,11713.9037168122
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.626591,8774455.98781346,17435.7533775486
35,E05000060,Underhill, ,523991,195493,-0.20939,51.644569,4550549.54374267,16319.7839245332
36,E05000061,West Finchley, ,525518,191440,-0.18879,51.607811,2163447.0876385,7848.15682661632
37,E05000062,West Hendon, ,522394,188065,-0.23505,51.578171,3428658.06218455,10262.7287105775
38,E05000063,Woodhouse, ,526776,191859,-0.17048,51.611301,2621155.26986482,8890.521956788
39,E05000085,Alperton, ,518344,183853,-0.29489,51.541168,2058551.72124664,8981.87024370497
40,E05000086,Barnhill, ,519301,187233,-0.27995,51.57135,2979038.55583592,10081.2836377729
41,E05000087,Brondesbury Park, ,523503,184107,-0.22045,51.542351,1729425.52209532,6877.41219636961
42,E05000088,Dollis Hill, ,522313,186513,-0.23676,51.56424,2299550.92354794,7281.38763389639
43,E05000089,Dudden Hill, ,522083,185505,-0.24043,51.555229,1681853.94012765,9704.21438672041
44,E05000090,Fryent, ,520182,188419,-0.26684,51.581821,2659395.62792365,9254.86277780677
45,E05000091,Harlesden, ,521490,183879,-0.24954,51.540741,1113706.09744335,5242.74648543612
46,E05000092,Kensal Green, ,522352,183277,-0.23732,51.535149,1120045.9490456,5676.73061027278
47,E05000093,Kenton, ,517617,188189,-0.30392,51.580299,2243130.70787361,7666.35023106718
48,E05000094,Kilburn, ,524960,183799,-0.19956,51.539268,943993.97549187,5241.85279038529
49,E05000095,Mapesbury, ,523466,185443,-0.22051,51.554371,1393470.5689023,5797.36210243525
50,E05000096,Northwick Park, ,516715,187252,-0.31724,51.57206,2679936.38133307,8748.18590379175
51,E05000097,Preston, ,518207,186413,-0.296,51.564209,2388246.80169418,7412.10217382741
52,E05000098,Queens Park, ,524047,183333,-0.21288,51.535278,1485622.17034832,6501.01046623028
53,E05000099,Queensbury, ,519681,189604,-0.27366,51.592579,2051246.08932444,6820.63252180178
54,E05000100,Stonebridge, ,520083,183661,-0.26989,51.539082,4050631.77224222,11142.7719500114
55,E05000101,Sudbury, ,516871,185370,-0.31562,51.555119,2124781.03660638,8701.53775882346
56,E05000102,Tokyngton, ,519356,185188,-0.27985,51.552959,2759200.34458139,7748.04404469384
57,E05000103,Welsh Harp, ,520882,186662,-0.25734,51.56588,2318941.73144573,9406.81983665204
58,E05000104,Wembley Central, ,518205,184839,-0.29656,51.550072,1604220.84733903,7604.38123496085
59,E05000105,Willesden Green, ,522219,184330,-0.23887,51.54464,1547656.64891471,7594.65514206307
60,E05000106,Bickley, ,542443,169027,0.046418,51.40239,4869085.70983012,10628.4272145834
61,E05000107,Biggin Hill, ,541094,159119,0.023113,51.31369,8280371.12814849,16486.3418024135
62,E05000108,Bromley Common and Keston, ,542215,165398,0.041692,51.369839,8308216.68430338,19019.1345922711
63,E05000109,Bromley Town, ,540273,169266,0.015337,51.405079,3716584.8212248,13694.9568561433
64,E05000110,Chelsfield and Pratts Bottom, ,547216,162725,0.112379,51.344551,12563167.9194893,23228.0569898998
65,E05000111,Chislehurst, ,544442,170313,0.075659,51.413441,10441493.226627,17042.8372689076
66,E05000112,Clock House, ,536163,169328,-0.04369,51.406631,2266433.27584045,9142.48570763661
67,E05000113,Copers Cope, ,537815,170017,-0.01968,51.41243,3286947.46107417,11528.1118136619
68,E05000114,Cray Valley East, ,548054,168282,0.126714,51.39426,13278630.215237,20252.8642047706
69,E05000115,Cray Valley West, ,546389,168891,0.10305,51.400162,3938482.19406613,12519.3966433305
70,E05000116,Crystal Palace, ,534382,170280,-0.06892,51.415611,2291141.90190704,7810.08693192612
71,E05000117,Darwin, ,542742,160113,0.047142,51.322208,29039640.7532382,31554.909862117
72,E05000118,Farnborough and Crofton, ,544022,164853,0.067413,51.364491,7005823.41005707,14400.7288124446
73,E05000119,Hayes and Coney Hall, ,539858,165582,0.007927,51.372082,10823008.960946,16853.0119463428
74,E05000120,Kelsey and Eden Park, ,537051,167654,-0.03157,51.39138,5198958.3078612,13400.8088888949
75,E05000121,Mottingham and Chislehurst North, ,542017,172311,0.041613,51.432011,2441836.93427347,8823.93497638513
76,E05000122,Orpington, ,546890,165750,0.108949,51.371811,4256202.50306477,9966.12160856296
77,E05000123,Penge and Cator, ,535785,170333,-0.04873,51.41576,2959726.28717973,8669.93422943248
78,E05000124,Petts Wood and Knoll, ,544582,167490,0.076522,51.388039,4301059.04461139,13080.1869007919
79,E05000125,Plaistow and Sundridge, ,540853,170677,0.024231,51.41761,4000908.09906527,9896.51963094323
80,E05000126,Shortlands, ,539010,168318,-0.00318,51.39687,2456677.44878236,8770.17284579027
81,E05000127,West Wickham, ,538494,166071,-0.01146,51.376801,4410463.12662488,10320.872373417
82,E05000128,Belsize, ,527236,184686,-0.16643,51.54673,780566.42607652,3857.52562128705
83,E05000129,Bloomsbury, ,529655,181984,-0.13256,51.5219,1020926.60199225,4853.36761664
84,E05000130,Camden Town with Primrose Hill, ,528438,184062,-0.14934,51.540852,1166149.97895604,5550.60861205329
85,E05000131,Cantelowes, ,529498,184536,-0.13389,51.544868,759309.839804515,4253.13101486186
86,E05000132,Fortune Green, ,524882,185333,-0.20014,51.55307,1006507.46047711,5405.26768385185
87,E05000133,Frognal and Fitzjohns, ,526006,185705,-0.1838,51.55616,1530217.0119349,6168.74998569546
88,E05000134,Gospel Oak, ,528008,185341,-0.15507,51.552441,692303.957889695,4414.92244919245
89,E05000135,Hampstead Town, ,526645,186181,-0.17442,51.560299,2449387.91484535,8373.64060445982
90,E05000136,Haverstock, ,528188,184717,-0.1527,51.546791,731760.69087438,4136.16837878754
91,E05000137,Highgate, ,528093,186523,-0.15341,51.563042,3239256.97379472,7716.3866892123
92,E05000138,Holborn and Covent Garden, ,530905,181692,-0.11466,51.518978,1194918.42887502,5999.14238318168
93,E05000139,Kentish Town, ,529104,185286,-0.13929,51.551701,1028981.93206468,4988.0025945098
94,E05000140,Kilburn, ,525799,183940,-0.18741,51.540352,685155.28764069,5060.70342455947
95,E05000141,King's Cross, ,530349,182567,-0.12235,51.526981,611353.46057733,3459.45646939069
96,E05000142,Regent's Park, ,528987,182932,-0.14184,51.530571,1349553.75552146,5813.18616284876
97,E05000143,St Pancras and Somers Town, ,529714,183428,-0.13118,51.534859,1398922.23250154,5458.31658772555
98,E05000144,Swiss Cottage, ,526951,184105,-0.17075,51.541569,1256732.18248162,6964.99702705395
99,E05000145,West Hampstead, ,525653,184819,-0.1892,51.548279,887295.7465311,5285.52109619782
100,E05000170,Acton Central, ,519997,181039,-0.27202,51.515541,1774621.18685299,7593.34254860635
101,E05000171,Cleveland, ,516520,182148,-0.32174,51.52623,2228551.88655242,9263.58898117212
102,E05000172,Dormers Wells, ,513742,181092,-0.36211,51.5173,2257267.20693105,8389.64810336669
103,E05000173,Ealing Broadway, ,517288,181128,-0.31102,51.516899,1856765.94568129,6749.5823023712
104,E05000174,Ealing Common, ,518521,180272,-0.29354,51.508949,2141051.51610718,6868.09919381494
105,E05000175,East Acton, ,520511,182112,-0.26425,51.52507,4275907.37044047,13413.1646658962
106,E05000176,Elthorne, ,515828,179675,-0.33253,51.50415,1999654.18572035,7509.5779403067
107,E05000177,Greenford Broadway, ,513416,182660,-0.3663,51.53146,2516686.98039884,11074.3465308145
108,E05000178,Greenford Green, ,514686,183987,-0.34757,51.543129,3384774.13093538,11806.6312330922
109,E05000179,Hanger Hill, ,518434,182120,-0.29417,51.525581,3277212.46169748,10745.0378316206
110,E05000180,Hobbayne, ,515236,181403,-0.34049,51.519798,2209361.30624716,6742.30233353355
111,E05000181,Lady Margaret, ,513205,181637,-0.36967,51.522308,1541811.57709892,6887.85305787974
112,E05000182,Northfield, ,516945,179087,-0.31663,51.498631,1540106.25007076,7458.64247851673
113,E05000183,North Greenford, ,516073,184839,-0.3273,51.55051,3257410.45096685,10430.0489108164
114,E05000184,Northolt Mandeville, ,512751,184565,-0.37528,51.548721,2756668.17634948,8315.77586226568
115,E05000185,Northolt West End, ,511303,183433,-0.39651,51.53883,3545385.67027938,9917.98660050675
116,E05000186,Norwood Green, ,513779,179256,-0.36217,51.500801,3796155.75789487,10650.9701686303
117,E05000187,Perivale, ,516484,183227,-0.3219,51.535931,3367721.479233,11529.1516004945
118,E05000188,South Acton, ,519732,179922,-0.27622,51.50555,1719217.47104511,6550.19556915108
119,E05000189,Southall Broadway, ,512575,180254,-0.37919,51.51001,1617193.74688999,7250.02150850185
120,E05000190,Southall Green, ,511761,179168,-0.39126,51.500408,1586170.92251447,5962.14120998991
121,E05000191,Southfield, ,520691,179377,-0.26259,51.50045,1428683.29561159,5416.10642815196
122,E05000192,Walpole, ,516957,179928,-0.31618,51.506191,1465968.24243982,5413.17810410613
123,E05000193,Bowes, ,531483,192089,-0.10245,51.612282,1483361.23425797,9299.44731437175
124,E05000194,Bush Hill Park, ,532941,194687,-0.08042,51.635288,2524493.6464097,9538.82971103225
125,E05000195,Chase, ,531422,199207,-0.10066,51.676262,16935423.1956629,23737.7977675699
126,E05000196,Cockfosters, ,527997,197445,-0.15081,51.661221,10412778.1237493,19915.8822985367
127,E05000197,Edmonton Green, ,535043,192950,-0.05074,51.619179,3126443.25180989,9900.48306088296
128,E05000198,Enfield Highway, ,536383,197335,-0.02969,51.65826,4636589.52592518,10053.822540072
129,E05000199,Enfield Lock, ,536635,198893,-0.02544,51.672199,3252249.26779746,8336.78362735574
130,E05000200,Grange, ,532157,195682,-0.09137,51.644409,3285152.06112975,9203.96477452859
131,E05000201,Haselbury, ,533440,193357,-0.07372,51.623219,1796006.38124781,7059.37567103808
132,E05000202,Highlands, ,530904,197284,-0.10887,51.6591,5088028.22578003,11847.3358110414
133,E05000203,Jubilee, ,535608,194766,-0.04188,51.635361,3928316.73613808,11275.0191701871
134,E05000204,Lower Edmonton, ,535464,193776,-0.04434,51.626499,2182478.83412091,8720.12747279398
135,E05000205,Palmers Green, ,531835,192895,-0.09707,51.619438,1942130.62863253,6837.73926442687
136,E05000206,Ponders End, ,536187,195789,-0.03312,51.644409,3542951.77970615,9391.99839883663
137,E05000207,Southbury, ,534114,196542,-0.06277,51.65168,2867063.64642739,8880.46678208729
138,E05000208,Southgate, ,529928,194448,-0.12402,51.633839,2687232.70922492,9428.97519650968
139,E05000209,Southgate Green, ,529878,192851,-0.12534,51.619499,2613528.54914595,8252.80975963559
140,E05000210,Town, ,532992,197449,-0.07864,51.660099,2231375.99846118,7284.45544167082
141,E05000211,Turkey Street, ,535274,198954,-0.04508,51.67308,2261502.31166222,6897.05500026104
142,E05000212,Upper Edmonton, ,534193,192015,-0.06337,51.610981,2642407.27797724,10144.5464514511
143,E05000213,Winchmore Hill, ,531301,193979,-0.10437,51.629311,2760676.1637198,9125.71546276329
144,E05000214,Abbey Wood, ,546816,178669,0.113238,51.487911,2657217.059104,7875.34231338972
145,E05000215,Blackheath Westcombe, ,540049,177455,0.015356,51.478722,2138138.31480215,8710.42850427689
146,E05000216,Charlton, ,541457,177891,0.035792,51.482288,2031217.48865119,7602.31453280702
147,E05000217,Coldharbour and New Eltham, ,543436,172428,0.062059,51.432701,2549310.32534188,7458.40070385353
148,E05000218,Eltham North, ,543431,175383,0.063184,51.459251,2555152.39092339,8722.27977897538
149,E05000219,Eltham South, ,543742,174021,0.067105,51.446941,4626428.20668711,10888.8661193449
150,E05000220,Eltham West, ,541497,175377,0.035362,51.45969,2425643.57180108,7865.70912549036
151,E05000221,Glyndon, ,544655,178804,0.08219,51.489681,1701960.31673906,7585.42016629159
152,E05000222,Greenwich West, ,538593,177143,-0.00571,51.476269,2792374.89899875,9584.06219384298
153,E05000223,Kidbrooke with Hornfair, ,541854,176630,0.041,51.47086,2374534.15988748,7499.03579618475
154,E05000224,Middle Park and Sutcliffe, ,541117,173988,0.029343,51.4473,3291448.78139924,11982.0640759155
155,E05000225,Peninsula, ,540032,179034,0.015737,51.492908,4491921.11261874,9700.12784137894
156,E05000226,Plumstead, ,545924,178299,0.100247,51.484821,2341905.06594138,9047.00521539604
157,E05000227,Shooters Hill, ,544200,176748,0.074802,51.471321,3770696.35289443,9599.14528968522
158,E05000228,Thamesmead Moorings, ,545999,180063,0.102056,51.500648,4812539.44564262,9317.26990292696
159,E05000229,Woolwich Common, ,543528,177730,0.065532,51.48032,2620376.75055667,8323.43825279928
160,E05000230,Woolwich Riverside, ,542295,178807,0.048222,51.490311,3261077.07923738,9385.38899598219
161,E05000250,Addison, ,523640,179464,-0.2201,51.500599,554823.02038638,4062.97223098776
162,E05000251,Askew, ,522018,179714,-0.24337,51.503201,762494.866154005,5011.63801612108
163,E05000252,Avonmore and Brook Green, ,524042,178845,-0.21453,51.494949,896603.303764285,5461.91704415171
164,E05000253,College Park and Old Oak, ,522459,181963,-0.23624,51.523312,3436569.07442257,9016.05837758884
165,E05000254,Fulham Broadway, ,525088,177577,-0.19992,51.483318,667962.54175593,3717.06365595458
166,E05000255,Fulham Reach, ,523773,177856,-0.21875,51.486118,881990.14824429,4872.57015950554
167,E05000256,Hammersmith Broadway, ,523240,178633,-0.22615,51.493221,1103045.15636135,5648.67411572355
168,E05000257,Munster, ,524335,176914,-0.21099,51.477531,624271.272020665,3852.6268662831
