objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E05000026,Abbey, ,544433,184379,0.081277,51.53982925,1248768.36872698,7849.76364287397
2,E05000027,Alibon, ,549247,185196,0.150987,51.54592133,1355410.18425478,6246.78620525364
3,E05000028,Becontree, ,546863,185869,0.116912,51.55260086,1289740.70937156,6280.31564654796
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.5834198,3382317.05870163,9496.48908073508
5,E05000030,Eastbrook, ,550774,186272,0.173453,51.55519104,3449511.52788664,8857.76181859752
6,E05000031,Eastbury, ,546074,183978,0.104756,51.53580856,1436532.53878398,6740.55804477049
7,E05000032,Gascoigne, ,544762,183580,0.085689,51.53256989,1104120.2386915,7606.48208146357
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.53604126,1277650.38705053,5607.64804364191
9,E05000034,Heath, ,549340,186620,0.152931,51.55868912,1999382.44389059,7986.07531331131
10,E05000035,Longbridge, ,545276,184914,0.093644,51.54442978,1651518.59812562,6263.84818070321
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.5451889,1858542.0810389,7493.47205262473
12,E05000037,Parsloes, ,548150,185599,0.13534801,51.54983139,1256367.58131808,6666.23225846946
13,E05000038,River, ,549432,182817,0.15264501,51.5245018,3110888.58716742,9617.77552433098
14,E05000039,Thames, ,547155,182705,0.1198,51.52408981,6694107.88433425,12968.3842198841
15,E05000040,Valence, ,548153,186867,0.13592499,51.56122971,1288841.93350111,5735.72713910213
16,E05000041,Village, ,550361,184190,0.166611,51.53659058,2149315.69966654,7771.72778991721
17,E05000042,Whalebone, ,548545,187662,0.141911,51.56827164,1550089.99698208,6819.78121159467
18,E05000043,Brunswick Park, ,528433,193715,-0.14588,51.62760162,3184968.51661131,8218.58730670004
19,E05000044,Burnt Oak, ,520522,190761,-0.26113001,51.60279846,2043919.19874035,6666.27694038088
20,E05000045,Childs Hill, ,524656,186687,-0.20291001,51.56528854,3093239.85755046,9192.75117710759
21,E05000046,Colindale, ,521442,189584,-0.24826001,51.59201813,2624227.26368898,8339.59177899636
22,E05000047,Coppetts, ,528052,191830,-0.15207,51.61074829,2730802.23559611,7861.84105143926
23,E05000048,East Barnet, ,527475,195754,-0.15897,51.64614105,3743683.17264271,9556.61865057172
24,E05000049,East Finchley, ,526811,190033,-0.17062999,51.59487915,2512423.71106947,8102.25382789676
25,E05000050,Edgware, ,518863,193351,-0.28420001,51.62643051,5560914.83223064,12501.815844633
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.59680939,2729053.97918265,8136.15119986738
27,E05000052,Garden Suburb, ,526124,188445,-0.18111999,51.58076096,4746877.47352639,10191.5871440032
28,E05000053,Golders Green, ,523819,187290,-0.21477,51.57088852,2960200.43821259,9264.92237810279
29,E05000054,Hale, ,520890,193803,-0.25477001,51.63005829,5456080.59387004,15232.5850709176
30,E05000055,Hendon, ,523084,189557,-0.22458,51.59143066,2866707.42487901,7727.4112222433
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.65541077,8313005.15483901,19593.3233249908
32,E05000057,Mill Hill, ,523111,192066,-0.22330999,51.61397171,9393709.10807361,14146.4416571774
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.63719177,3323417.12985224,11576.3646696017
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.62659073,8774075.67978422,16261.1293291795
35,E05000060,Underhill, ,523991,195493,-0.20939,51.6445694,4557070.38173589,15656.301853286
36,E05000061,West Finchley, ,525518,191440,-0.18878999,51.60781097,2149422.45786894,7509.76513657859
