objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E05000026,Abbey, ,544433,184379,0.081277,51.539829,1181482.89698468,5769.18915423961
2,E05000027,Alibon, ,549247,185196,0.150987,51.545921,1344130.36203949,5778.85640712191
3,E05000028,Becontree, ,546863,185869,0.116912,51.552601,1369326.89760427,5650.58835654308
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.58342,3281309.43915031,8145.66710467354
5,E05000030,Eastbrook, ,550774,186272,0.173453,51.555191,3416543.69653415,8249.27419371886
6,E05000031,Eastbury, ,546074,183978,0.104756,51.535809,1403338.35105464,6404.20756159211
7,E05000032,Gascoigne, ,544762,183580,0.085689,51.53257,1262122.54742637,5597.8811168517
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.536041,1182516.00096169,4952.80922062976
9,E05000034,Heath, ,549340,186620,0.152931,51.558689,2005197.66431792,6784.47560531008
10,E05000035,Longbridge, ,545276,184914,0.093644,51.54443,1759272.48297171,6038.67758557545
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.545189,1826454.69823448,7002.46394422226
12,E05000037,Parsloes, ,548150,185599,0.135348,51.549831,1232990.87697887,5915.23378774752
13,E05000038,River, ,549432,182817,0.152645,51.524502,3394161.27330713,8862.90722870738
14,E05000039,Thames, ,547155,182705,0.1198,51.52409,6579096.95547353,11963.3527898712
15,E05000040,Valence, ,548153,186867,0.135925,51.56123,1237836.45643747,5108.27880963091
16,E05000041,Village, ,550361,184190,0.166611,51.536591,2137135.15580139,7137.26811409353
17,E05000042,Whalebone, ,548545,187662,0.141911,51.568272,1602805.59155351,5990.73401919046
18,E05000043,Brunswick Park, ,528433,193715,-0.14588,51.627602,3121370.89537665,7594.32730743783
19,E05000044,Burnt Oak, ,520522,190761,-0.26113,51.602798,2129846.3484148,5734.39967005128
20,E05000045,Childs Hill, ,524656,186687,-0.20291,51.565289,3056001.24193785,8296.17170422749
21,E05000046,Colindale, ,521442,189584,-0.24826,51.592018,2419947.26359397,7508.66590809657
22,E05000047,Coppetts, ,528052,191830,-0.15207,51.610748,2671966.91181439,7189.02828549675
23,E05000048,East Barnet, ,527475,195754,-0.15897,51.646141,3614684.86589679,8752.45711103971
24,E05000049,East Finchley, ,526811,190033,-0.17063,51.594879,2342302.20097621,7564.13371921082
25,E05000050,Edgware, ,518863,193351,-0.2842,51.626431,5789217.64415808,11015.4186510345
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.596809,2666185.20197761,7527.24904401557
27,E05000052,Garden Suburb, ,526124,188445,-0.18112,51.580761,4820263.79290508,9380.44821896984
28,E05000053,Golders Green, ,523819,187290,-0.21477,51.570889,3231248.84368264,8644.23304113104
29,E05000054,Hale, ,520890,193803,-0.25477,51.630058,5247874.02194787,13003.86330966
30,E05000055,Hendon, ,523084,189557,-0.22458,51.591431,3119052.2808941,7480.37059267369
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.655411,7977933.9174785,16894.8302509422
32,E05000057,Mill Hill, ,523111,192066,-0.22331,51.613972,9225369.23526357,12429.2163642577
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.637192,3570670.69803425,10286.0067110785
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.626591,9111136.17311108,13925.4804971499
35,E05000060,Underhill, ,523991,195493,-0.20939,51.644569,4756984.34142795,13243.802320789
36,E05000061,West Finchley, ,525518,191440,-0.18879,51.607811,2218086.52595567,6821.15444771755
37,E05000062,West Hendon, ,522394,188065,-0.23505,51.578171,3187275.60940921,9086.62816593001
38,E05000063,Woodhouse, ,526776,191859,-0.17048,51.611301,2682875.4316014,7524.19136773354
39,E05000085,Alperton, ,518344,183853,-0.29489,51.541168,2205188.81044145,8143.55583121547
40,E05000086,Barnhill, ,519301,187233,-0.27995,51.57135,3140213.62168208,9129.16117127333
41,E05000087,Brondesbury Park, ,523503,184107,-0.22045,51.542351,1779686.17041352,6151.75187452485
42,E05000088,Dollis Hill, ,522313,186513,-0.23676,51.56424,2313988.91196164,5856.53527157837
43,E05000089,Dudden Hill, ,522083,185505,-0.24043,51.555229,1774799.20555558,8290.92506399742
44,E05000090,Fryent, ,520182,188419,-0.26684,51.581821,2678410.64163701,8030.67726870213
45,E05000091,Harlesden, ,521490,183879,-0.24954,51.540741,897501.14367564,4599.93252249946
46,E05000092,Kensal Green, ,522352,183277,-0.23732,51.535149,1192378.3775318,4595.25360663616
47,E05000093,Kenton, ,517617,188189,-0.30392,51.580299,2092027.79984961,7223.08232288042
48,E05000094,Kilburn, ,524960,183799,-0.19956,51.539268,941764.958106065,4863.58915548023
49,E05000095,Mapesbury, ,523466,185443,-0.22051,51.554371,1344610.23930517,5323.92377322493
50,E05000096,Northwick Park, ,516715,187252,-0.31724,51.57206,2730484.05249789,8018.96902899644
51,E05000097,Preston, ,518207,186413,-0.296,51.564209,2287494.17409315,7125.83254160706
52,E05000098,Queens Park, ,524047,183333,-0.21288,51.535278,1530701.70784169,5780.82648230609
53,E05000099,Queensbury, ,519681,189604,-0.27366,51.592579,2043740.37083663,6263.69502796429
54,E05000100,Stonebridge, ,520083,183661,-0.26989,51.539082,4217116.69615778,10000.2341602627
55,E05000101,Sudbury, ,516871,185370,-0.31562,51.555119,2317587.08384521,7682.73157755069
56,E05000102,Tokyngton, ,519356,185188,-0.27985,51.552959,2573801.18823888,6846.92522783241
57,E05000103,Welsh Harp, ,520882,186662,-0.25734,51.56588,2244292.83591317,7615.15792189428
58,E05000104,Wembley Central, ,518205,184839,-0.29656,51.550072,1558294.84667034,6435.47940576009
59,E05000105,Willesden Green, ,522219,184330,-0.23887,51.54464,1499443.83221975,6641.6271285421
60,E05000106,Bickley, ,542443,169027,0.046418,51.40239,4838932.14687472,9567.84067431162
61,E05000107,Biggin Hill, ,541094,159119,0.023113,51.31369,8201374.92680021,14765.6035404655
62,E05000108,Bromley Common and Keston, ,542215,165398,0.041692,51.369839,8215420.13424748,16606.092226375
63,E05000109,Bromley Town, ,540273,169266,0.015337,51.405079,3562532.83176374,10873.9054509115
64,E05000110,Chelsfield and Pratts Bottom, ,547216,162725,0.112379,51.344551,12663844.82347,19856.7677568321
65,E05000111,Chislehurst, ,544442,170313,0.075659,51.413441,10399066.0128611,15362.3427935316
66,E05000112,Clock House, ,536163,169328,-0.04369,51.406631,2427990.88436825,8034.30243305187
67,E05000113,Copers Cope, ,537815,170017,-0.01968,51.41243,3238346.19960919,9008.38957362675
68,E05000114,Cray Valley East, ,548054,168282,0.126714,51.39426,12824769.7726018,17657.1213291678
69,E05000115,Cray Valley West, ,546389,168891,0.10305,51.400162,4013751.20677467,10477.6646161478
70,E05000116,Crystal Palace, ,534382,170280,-0.06892,51.415611,2164126.46124688,7012.39044130677
71,E05000117,Darwin, ,542742,160113,0.047142,51.322208,29296700.6272882,28317.9229249357
72,E05000118,Farnborough and Crofton, ,544022,164853,0.067413,51.364491,6978843.44759186,12509.2751160141
